@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
134,660,2158,275,19892,0.013636,0.234209,0.705882,0.234209,0.294118,0.351719,0.040679,5.757525,0.482844
135,659,2159,275,19892,0.013636,0.233854,0.705567,0.233854,0.294433,0.351279,0.040635,5.754957,0.537245
136,649,2169,252,19915,0.012496,0.230305,0.720311,0.230305,0.279689,0.349019,0.039199,5.87521,0.541989
137,648,2170,252,19915,0.012496,0.22995,0.72,0.22995,0.28,0.348575,0.039156,5.872676,0.545587
138,645,2173,251,19916,0.012446,0.228886,0.719866,0.228886,0.280134,0.347334,0.038982,5.871583,0.560033
139,556,2262,192,19975,0.009521,0.197303,0.743316,0.197303,0.256684,0.311834,0.032543,6.062848,0.597639
140,554,2264,190,19977,0.009421,0.196593,0.744624,0.196593,0.255376,0.311061,0.032369,6.073518,0.603451
141,553,2265,190,19977,0.009421,0.196238,0.74428,0.196238,0.25572,0.310587,0.032325,6.070715,0.615411
142,547,2271,190,19977,0.009421,0.194109,0.742198,0.194109,0.257802,0.307736,0.032064,6.053734,0.617347
143,482,2336,147,20020,0.007289,0.171043,0.766296,0.171043,0.233704,0.279663,0.027366,6.250286,0.621848
144,481,2337,147,20020,0.007289,0.170688,0.765924,0.170688,0.234076,0.279164,0.027322,6.247251,0.625252
145,463,2355,145,20022,0.00719,0.164301,0.761513,0.164301,0.238487,0.270286,0.026452,6.211277,0.660661
146,461,2357,145,20022,0.00719,0.163591,0.760726,0.163591,0.239274,0.269276,0.026365,6.204858,0.673637
147,437,2381,134,20033,0.006645,0.155075,0.765324,0.155075,0.234676,0.257893,0.024842,6.242361,0.678941
148,425,2393,132,20035,0.006545,0.150816,0.763016,0.150816,0.236984,0.251852,0.024233,6.223537,0.689795
149,420,2398,128,20039,0.006347,0.149042,0.766423,0.149042,0.233577,0.249554,0.023842,6.251327,0.699142
150,376,2442,107,20060,0.005306,0.133428,0.778468,0.133428,0.221532,0.22781,0.021014,6.349569,0.723459
151,343,2475,97,20070,0.00481,0.121718,0.779545,0.121718,0.220455,0.210559,0.019143,6.358358,0.730131
152,335,2483,97,20070,0.00481,0.118879,0.775463,0.118879,0.224537,0.206154,0.018795,6.325059,0.730965
153,335,2483,96,20071,0.00476,0.118879,0.777262,0.118879,0.222738,0.206217,0.018751,6.339734,0.73811
154,332,2486,96,20071,0.00476,0.117814,0.775701,0.117814,0.224299,0.204559,0.018621,6.327,0.744553
155,329,2489,96,20071,0.00476,0.116749,0.774118,0.116749,0.225882,0.202899,0.01849,6.314086,0.746536
156,253,2565,73,20094,0.00362,0.08978,0.776074,0.08978,0.223926,0.160941,0.014183,6.33004,0.752841
157,244,2574,72,20095,0.00357,0.086586,0.772152,0.086586,0.227848,0.155712,0.013748,6.298052,0.77422
158,240,2578,70,20097,0.003471,0.085167,0.774194,0.085167,0.225806,0.153453,0.013487,6.314705,0.779926
159,225,2593,65,20102,0.003223,0.079844,0.775862,0.079844,0.224138,0.144788,0.012617,6.328314,0.782883
160,222,2596,64,20103,0.003174,0.078779,0.776224,0.078779,0.223776,0.143041,0.012443,6.331265,0.790277
161,193,2625,52,20115,0.002578,0.068488,0.787755,0.068488,0.212245,0.12602,0.010659,6.42532,0.794265
162,178,2640,48,20119,0.00238,0.063165,0.787611,0.063165,0.212389,0.116951,0.009832,6.424141,0.802355
163,176,2642,47,20120,0.002331,0.062456,0.789238,0.062456,0.210762,0.115751,0.009702,6.437412,0.817908
164,153,2665,35,20132,0.001736,0.054294,0.81383,0.054294,0.18617,0.101796,0.008179,6.637998,0.820735
165,151,2667,35,20132,0.001736,0.053584,0.811828,0.053584,0.188172,0.100533,0.008092,6.62167,0.82687
166,103,2715,19,20148,0.000942,0.036551,0.844262,0.036551,0.155738,0.070068,0.005308,6.88622,0.831627
167,97,2721,19,20148,0.000942,0.034422,0.836207,0.034422,0.163793,0.066121,0.005047,6.820517,0.8418
168,96,2722,19,20148,0.000942,0.034067,0.834783,0.034067,0.165217,0.065462,0.005003,6.808899,0.851778
